연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
495,평택 용이동 신흥유적,평택 신흥지구 도시개발사업부지 내 유적,(재)한국선사문화연구원,2017-09-04,경기,평택시, ,,,,
496,한국폴리텍대학 영천캠퍼스 조성사업부지 내 영천 화룡동 유적,영천 한국폴리텍대학 영천캠퍼스 조성사업부지 내 유적,(재)홍익문화재연구원,2017-09-05,경북,영천시, ,,,,
497,서울 종로 관수동 54-2번지 유적,서울 종로구 종로18길 13 숙박시설 신축부지 내 유적,(재)한성문화재연구원,2017-09-05,서울,종로구, ,,,,
498,대전 계족산성,대전 계족산성 문화재 정밀실측 및 발굴(시굴)조사,(재)백제문화재연구원,2017-09-05,대전,대덕구, ,,,,
499,파주 임진나루와 임진진터 내 유적 시굴조사 보고서,파주 임진나루와 임진진터,(재)한백문화재연구원,2017-09-07,경기,파주시, ,,,,
500,김포 학운3 일반산업단지 내 金浦 鶴雲里 遺蹟,김포 학운3 일반산업단지 내 유적,(재)중부고고학연구소,2017-09-08,경기,김포시, ,,,,
501,아산 갈매리 목책 유적,아산 갈매리 대지조성사업부지 내,(재)금강문화유산연구원,2017-09-08,충남,아산시, ,,,,
502,서울 인사동 143번지 유적,서울 종로 인사동길 9-2 일원 근린생활시설 신축부지 내 유적,(재)한울문화재연구원,2017-09-11,서울,종로구, ,,,,
503,대구 각산동 서한이다음 공동주택 신축공사부지내 大邱 角山洞 393番地 遺蹟,대구 각산동 서한이다음 공동주택 신축공사부지내 유적,(재)세종문화재연구원,2017-09-12,대구,동구, ,,,,
504,月城垓子 발굴조사보고서Ⅴ 라구역,경주 월성해자(2012년),국립경주문화재연구소,2017-09-13,경북,경주시, ,,,,
505,보령 웅천 대창리 고령청자요지 유적,보령 웅천 대창리 고려청자 요지 내 유적,(재)백제문화재연구원,2017-09-13,충남,보령시, ,,,,
506,부여 쌍북리 713-5번지 유적,부여군 평생학습관 신축공사 추가매입부지 내 유적,(재)동방문화재연구원,2017-09-15,충남,부여군, ,,,,
507,김해 퇴래리 소업Ⅱ 유적,김해 퇴래리(1177-12) 근린생활시설 신축부지 내 유적,(재)강산문화연구원,2017-09-15,경남,김해시, ,,,,
508,김해 퇴래리 소업Ⅰ 유적,김해 퇴래리(산55-1) 근린생활시설 신축부지 내 유적,(재)강산문화연구원,2017-09-15,경남,김해시, ,,,,
